Country,Num_Exports,Num_Imports,Amount_Exports,Amount_Imports,Betweenness,Local_Clustering,Eccentricity
ZMB,2,3,0.015,636.456,0.0,0.2777777777777778,1099.0938806487509
GRL,1,0,0.015,0.0,0.0,0.0,
BEN,1,0,0.008,0.0,0.0,0.0,
SRB,1,8,0.008,1350517.531,0.02016183870529036,0.2222222222222222,1124.088263881214
GRD,1,4,0.004,1.2890000000000001,0.0,0.5,1249.0413965106095
LTU,1,7,0.003,4607860.621,0.0,0.48214285714285715,1332.3261671660805
MDG,1,0,0.002,0.0,0.0,0.0,
MMR,1,1,0.001,839554.978,0.0,0.5,1998.1048884121633
RWA,0,1,0.0,4.746,0.0,0.0,
AIA,0,1,0.0,3.365,0.0,0.0,
BMU,0,1,0.0,2.788,0.0,0.0,
TON,0,1,0.0,0.095,0.0,0.0,
BLR,0,1,0.0,0.065,0.0,0.0,
CRI,0,4,0.0,52.303,0.0,0.3333333333333333,
BLZ,0,2,0.0,240.375,0.0,0.0,
BGR,0,14,0.0,3977408.493,0.0,0.25274725274725274,
HND,0,1,0.0,34.834,0.0,0.0,
MWI,0,3,0.0,3.833,0.0,0.3333333333333333,
ARM,0,1,0.0,285.129,0.0,0.0,
BWA,0,1,0.0,1.548,0.0,0.0,
MSR,0,2,0.0,0.178,0.0,0.0,
UZB,0,6,0.0,361955.356,0.0,0.13333333333333333,
GEO,0,2,0.0,5845.4980000000005,0.0,0.5,
ZWE,0,3,0.0,742.332,0.0,0.3333333333333333,
KGZ,0,1,0.0,166.427,0.0,0.0,
GNB,0,1,0.0,0.282,0.0,0.0,
CAF,0,1,0.0,0.082,0.0,0.0,
BHS,0,5,0.0,182324.1,0.0,0.65,
ASM,0,1,0.0,0.182,0.0,0.0,
VUT,0,1,0.0,0.709,0.0,0.0,
KHM,0,2,0.0,3.455,0.0,0.0,
MDV,0,2,0.0,6.006,0.0,0.0,
BGD,0,2,0.0,38910.592,0.0,1.0,
GIN,0,2,0.0,1221.543,0.0,0.0,
CPV,0,1,0.0,0.224,0.0,0.0,
SXM,0,1,0.0,1.745,0.0,0.0,
LCA,0,2,0.0,205962.024,0.0,0.5,
TUV,0,1,0.0,69.694,0.0,0.0,
COK,0,1,0.0,0.306,0.0,0.0,
LSO,0,1,0.0,17.886,0.0,0.0,
SHN,0,1,0.0,22.481,0.0,0.0,
MLI,0,1,0.0,5294.916,0.0,0.0,
